user_id,first_active_date,return_dates,retention_cutoff_date
user_84,2023-01-27,2023-03-29,2023-03-28
user_85,2023-01-06,2023-10-16,2023-03-07
user_86,2023-01-28,2023-10-01,2023-03-29
user_87,2023-01-29,2023-11-30,2023-03-30
user_88,2023-01-12,2023-12-12,2023-03-13
user_89,2023-01-12,2023-09-17,2023-03-13
user_90,2023-01-28,2023-10-30,2023-03-29
user_91,2023-01-06,2023-08-03,2023-03-07
user_92,2023-01-30,2023-09-05,2023-03-31
user_93,2023-01-23,2023-02-10,2023-03-24
user_94,2023-01-13,2023-04-28,2023-03-14
user_95,2023-01-14,2023-10-29,2023-03-15
user_96,2023-01-10,2023-08-12,2023-03-11
user_97,2023-01-11,2023-02-19,2023-03-12
user_98,2023-01-19,2023-09-19,2023-03-20
user_99,2023-01-22,2023-08-19,2023-03-23
user_100,2023-01-14,2023-06-11,2023-03-15
user_101,2023-01-25,2023-08-04,2023-03-26
user_102,2023-01-22,2023-11-01,2023-03-23
user_103,2023-01-26,2023-10-08,2023-03-27
user_104,2023-01-19,2023-08-16,2023-03-20
user_105,2023-01-03,2023-08-19,2023-03-04
user_106,2023-01-22,2023-04-14,2023-03-23
user_107,2023-01-17,2023-09-24,2023-03-18
user_108,2023-01-06,2023-09-19,2023-03-07
user_109,2023-01-20,2023-08-14,2023-03-21
user_110,2023-01-13,2023-02-13,2023-03-14
user_111,2023-01-21,2023-05-05,2023-03-22
user_112,2023-01-15,2023-07-07,2023-03-16
user_113,2023-01-24,2023-09-18,2023-03-25
user_114,2023-01-30,2023-05-05,2023-03-31
user_115,2023-01-09,2023-04-10,2023-03-10
user_116,2023-01-30,2023-06-17,2023-03-31
user_117,2023-01-07,2023-08-05,2023-03-08
user_118,2023-01-05,2023-07-15,2023-03-06
user_119,2023-01-21,2023-02-16,2023-03-22
user_120,2023-01-08,2023-10-18,2023-03-09
user_121,2023-01-02,2023-06-20,2023-03-03
user_122,2023-01-05,2023-05-02,2023-03-06
user_123,2023-01-06,2023-03-11,2023-03-07
user_124,2023-01-12,2023-05-07,2023-03-13
user_125,2023-01-06,2023-09-21,2023-03-07
user_126,2023-01-10,2023-03-06,2023-03-11
user_127,2023-01-09,2023-12-22,2023-03-10
user_128,2023-01-30,2023-05-17,2023-03-31
user_129,2023-01-19,2023-12-18,2023-03-20
user_130,2023-01-09,2023-02-12,2023-03-10
user_131,2023-01-03,2023-07-10,2023-03-04
user_132,2023-01-12,2023-08-08,2023-03-13
user_133,2023-01-04,2023-02-25,2023-03-05
user_134,2023-01-15,2023-07-07,2023-03-16
user_135,2023-01-03,2023-04-22,2023-03-04
user_136,2023-01-29,2023-09-08,2023-03-30
user_137,2023-01-06,2023-06-18,2023-03-07
user_138,2023-01-22,2023-02-07,2023-03-23
user_139,2023-01-22,2023-06-14,2023-03-23
user_140,2023-01-17,2023-12-15,2023-03-18
user_141,2023-01-29,2023-04-11,2023-03-30
user_142,2023-01-26,2023-07-10,2023-03-27
user_143,2023-01-05,2023-09-07,2023-03-06
user_144,2023-01-06,2023-05-27,2023-03-07
user_145,2023-01-16,2023-08-28,2023-03-17
user_146,2023-01-23,2023-12-19,2023-03-24
user_147,2023-01-25,2023-04-24,2023-03-26
user_148,2023-01-28,2023-04-05,2023-03-29
user_149,2023-01-14,2023-06-07,2023-03-15
user_150,2023-01-15,2023-10-14,2023-03-16
user_151,2023-01-06,2023-06-17,2023-03-07
user_152,2023-01-08,2023-09-04,2023-03-09
user_153,2023-01-18,2023-08-17,2023-03-19
user_154,2023-01-23,2023-05-21,2023-03-24
user_155,2023-01-30,2023-06-01,2023-03-31
user_156,2023-01-25,2023-05-17,2023-03-26
user_157,2023-01-05,2023-09-09,2023-03-06
user_158,2023-01-30,2023-10-10,2023-03-31
user_159,2023-01-13,2023-08-22,2023-03-14
user_160,2023-01-28,2023-07-06,2023-03-29
user_161,2023-01-08,2023-07-09,2023-03-09
user_162,2023-01-05,2023-09-13,2023-03-06
user_163,2023-01-12,2023-10-27,2023-03-13
user_164,2023-01-10,2023-12-24,2023-03-11
user_165,2023-01-01,2023-09-16,2023-03-02
user_166,2023-01-10,2023-05-06,2023-03-11
user_167,2023-01-21,2023-02-25,2023-03-22
user_168,2023-01-18,2023-06-01,2023-03-19
user_169,2023-01-22,2023-08-08,2023-03-23
user_170,2023-01-25,2023-02-17,2023-03-26
user_171,2023-01-07,2023-06-05,2023-03-08
user_172,2023-01-13,2023-02-15,2023-03-14
user_173,2023-01-20,2023-06-03,2023-03-21
user_174,2023-01-02,2023-09-10,2023-03-03
user_175,2023-01-19,2023-06-13,2023-03-20
user_176,2023-01-13,2023-02-11,2023-03-14
user_177,2023-01-25,2023-10-12,2023-03-26
user_178,2023-01-17,2023-04-16,2023-03-18
user_179,2023-01-05,2023-06-20,2023-03-06
user_180,2023-01-15,2023-10-19,2023-03-16
user_181,2023-01-05,2023-12-04,2023-03-06
user_182,2023-01-06,2023-10-31,2023-03-07
user_183,2023-01-13,2023-11-06,2023-03-14
user_184,2023-01-12,2023-03-02,2023-03-13
user_185,2023-01-30,2023-02-18,2023-03-31
user_186,2023-01-19,2023-05-05,2023-03-20
user_187,2023-01-27,2023-10-24,2023-03-28
user_188,2023-01-07,2023-09-24,2023-03-08
user_189,2023-01-12,2023-09-20,2023-03-13
user_190,2023-01-20,2023-10-27,2023-03-21
user_191,2023-01-08,2023-11-03,2023-03-09
user_192,2023-01-15,2023-08-07,2023-03-16
user_193,2023-01-15,2023-06-19,2023-03-16
user_194,2023-01-03,2023-06-29,2023-03-04
user_195,2023-01-11,2023-05-01,2023-03-12
user_196,2023-01-22,2023-09-11,2023-03-23
user_197,2023-01-22,2023-12-22,2023-03-23
user_198,2023-01-15,2023-09-25,2023-03-16
user_199,2023-01-30,2023-05-04,2023-03-31
user_200,2023-01-01,2023-02-27,2023-03-02
user_201,2023-01-18,2023-08-12,2023-03-19
user_202,2023-01-03,2023-06-03,2023-03-04
user_203,2023-01-02,2023-11-02,2023-03-03
user_204,2023-01-28,2023-12-03,2023-03-29
user_205,2023-01-15,2023-04-11,2023-03-16
user_206,2023-01-09,2023-03-26,2023-03-10
user_207,2023-01-18,2023-07-25,2023-03-19
user_208,2023-01-01,2023-08-08,2023-03-02
user_209,2023-01-01,2023-10-11,2023-03-02
user_210,2023-01-28,2023-07-06,2023-03-29
user_211,2023-01-14,2023-11-09,2023-03-15
user_212,2023-01-22,2023-12-02,2023-03-23
user_213,2023-01-05,2023-12-16,2023-03-06
user_214,2023-01-23,2023-08-17,2023-03-24
user_215,2023-01-21,2023-11-09,2023-03-22
user_216,2023-01-29,2023-05-08,2023-03-30
user_217,2023-01-29,2023-06-04,2023-03-30
user_218,2023-01-30,2023-05-03,2023-03-31
user_219,2023-01-01,2023-05-24,2023-03-02
user_220,2023-01-24,2023-04-29,2023-03-25
user_221,2023-01-15,2023-11-20,2023-03-16
user_222,2023-01-29,2023-05-16,2023-03-30
user_223,2023-01-07,2023-06-27,2023-03-08
user_224,2023-01-05,2023-11-04,2023-03-06
user_225,2023-01-17,2023-09-16,2023-03-18
user_226,2023-01-07,2023-03-15,2023-03-08
user_227,2023-01-07,2023-09-07,2023-03-08
user_228,2023-01-03,2023-06-11,2023-03-04
user_229,2023-01-14,2023-04-08,2023-03-15
user_230,2023-01-13,2023-06-21,2023-03-14
user_231,2023-01-18,2023-07-12,2023-03-19
user_232,2023-01-24,2023-05-06,2023-03-25
user_233,2023-01-09,2023-11-27,2023-03-10
user_234,2023-01-05,2023-06-28,2023-03-06
user_235,2023-01-13,2023-12-19,2023-03-14
user_236,2023-01-05,2023-07-13,2023-03-06
user_237,2023-01-02,2023-12-11,2023-03-03
user_238,2023-01-29,2023-09-12,2023-03-30
user_239,2023-01-24,2023-02-16,2023-03-25
user_240,2023-01-27,2023-07-10,2023-03-28
user_241,2023-01-03,2023-04-09,2023-03-04
user_242,2023-01-18,2023-07-28,2023-03-19
user_243,2023-01-01,2023-05-10,2023-03-02
user_244,2023-01-02,2023-05-11,2023-03-03
user_245,2023-01-21,2023-10-08,2023-03-22
user_246,2023-01-15,2023-12-03,2023-03-16
user_247,2023-01-28,2023-03-10,2023-03-29
user_248,2023-01-15,2023-11-24,2023-03-16
user_249,2023-01-17,2023-07-28,2023-03-18
user_250,2023-01-27,2023-08-16,2023-03-28
user_251,2023-01-24,2023-08-29,2023-03-25
user_252,2023-01-03,2023-09-08,2023-03-04
user_253,2023-01-07,2023-10-04,2023-03-08
user_254,2023-01-09,2023-10-04,2023-03-10
user_255,2023-01-17,2023-08-16,2023-03-18
user_256,2023-01-17,2023-03-08,2023-03-18
user_257,2023-01-12,2023-04-25,2023-03-13
user_258,2023-01-01,2023-02-22,2023-03-02
user_259,2023-01-26,2023-11-30,2023-03-27
user_260,2023-01-07,2023-10-16,2023-03-08
user_261,2023-01-01,2023-09-11,2023-03-02
user_262,2023-01-02,2023-02-25,2023-03-03
user_263,2023-01-28,2023-03-25,2023-03-29
user_264,2023-01-04,2023-02-04,2023-03-05
user_265,2023-01-17,2023-09-10,2023-03-18
user_266,2023-01-05,2023-08-15,2023-03-06
user_267,2023-01-15,2023-07-27,2023-03-16
user_268,2023-01-03,2023-10-19,2023-03-04
user_269,2023-01-15,2023-12-28,2023-03-16
user_270,2023-01-16,2023-06-12,2023-03-17
user_271,2023-01-15,2023-03-18,2023-03-16
user_272,2023-01-19,2023-12-24,2023-03-20
user_273,2023-01-11,2023-04-11,2023-03-12
user_274,2023-01-30,2023-10-31,2023-03-31
user_275,2023-01-01,2023-07-30,2023-03-02
user_276,2023-01-18,2023-09-02,2023-03-19
user_277,2023-01-07,2023-11-19,2023-03-08
user_278,2023-01-08,2023-02-17,2023-03-09
user_279,2023-01-22,2023-04-02,2023-03-23
user_280,2023-01-14,2023-10-06,2023-03-15
user_281,2023-01-03,2023-09-11,2023-03-04
user_282,2023-01-30,2023-10-15,2023-03-31
user_283,2023-01-01,2023-11-11,2023-03-02
user_284,2023-01-15,2023-06-29,2023-03-16
user_285,2023-01-10,2023-12-26,2023-03-11
user_286,2023-01-29,2023-03-08,2023-03-30
user_287,2023-01-24,2023-06-30,2023-03-25
user_288,2023-01-28,2023-02-10,2023-03-29
user_289,2023-01-18,2023-07-21,2023-03-19
user_290,2023-01-02,2023-06-11,2023-03-03
user_291,2023-01-09,2023-02-27,2023-03-10
user_292,2023-01-21,2023-11-06,2023-03-22
user_293,2023-01-18,2023-05-21,2023-03-19
user_294,2023-01-30,2023-07-20,2023-03-31
user_295,2023-01-11,2023-02-27,2023-03-12
user_296,2023-01-21,2023-03-17,2023-03-22
user_297,2023-01-10,2023-04-19,2023-03-11
user_298,2023-01-21,2023-03-20,2023-03-22
user_299,2023-01-03,2023-08-28,2023-03-04
user_300,2023-01-23,2023-03-02,2023-03-24
user_301,2023-01-08,2023-02-15,2023-03-09
user_302,2023-01-16,2023-07-26,2023-03-17
user_303,2023-01-11,2023-02-25,2023-03-12
user_304,2023-01-22,2023-09-04,2023-03-23
user_305,2023-01-07,2023-10-27,2023-03-08
user_306,2023-01-04,2023-12-01,2023-03-05
user_307,2023-01-15,2023-06-23,2023-03-16
user_308,2023-01-29,2023-12-05,2023-03-30
user_309,2023-01-02,2023-11-24,2023-03-03
user_310,2023-01-14,2023-10-03,2023-03-15
user_311,2023-01-01,2023-08-26,2023-03-02
user_312,2023-01-14,2023-03-29,2023-03-15
user_313,2023-01-23,2023-09-11,2023-03-24
user_314,2023-01-06,2023-08-02,2023-03-07
user_315,2023-01-25,2023-12-11,2023-03-26
user_316,2023-01-04,2023-07-05,2023-03-05
user_317,2023-01-01,2023-11-13,2023-03-02
user_318,2023-01-01,2023-10-05,2023-03-02
user_319,2023-01-10,2023-07-11,2023-03-11
user_320,2023-01-10,2023-12-29,2023-03-11
user_321,2023-01-26,2023-12-04,2023-03-27
user_322,2023-01-09,2023-12-04,2023-03-10
user_323,2023-01-24,2023-04-18,2023-03-25
user_324,2023-01-03,2023-04-12,2023-03-04
user_325,2023-01-09,2023-05-30,2023-03-10
user_326,2023-01-16,2023-02-23,2023-03-17
user_327,2023-01-01,2023-02-18,2023-03-02
user_328,2023-01-10,2023-09-07,2023-03-11
user_329,2023-01-25,2023-10-23,2023-03-26
user_330,2023-01-05,2023-10-28,2023-03-06
user_331,2023-01-25,2023-06-22,2023-03-26
user_332,2023-01-29,2023-11-15,2023-03-30
user_333,2023-01-02,2023-08-15,2023-03-03
user_334,2023-01-11,2023-03-19,2023-03-12
user_335,2023-01-25,2023-05-30,2023-03-26
user_336,2023-01-01,2023-05-10,2023-03-02
user_337,2023-01-23,2023-10-23,2023-03-24
user_338,2023-01-06,2023-10-19,2023-03-07
user_339,2023-01-03,2023-10-03,2023-03-04
user_340,2023-01-08,2023-06-03,2023-03-09
user_341,2023-01-27,2023-02-18,2023-03-28
user_342,2023-01-28,2023-05-03,2023-03-29
user_343,2023-01-09,2023-12-15,2023-03-10
user_344,2023-01-16,2023-10-26,2023-03-17
user_345,2023-01-09,2023-08-19,2023-03-10
user_346,2023-01-15,2023-07-28,2023-03-16
user_347,2023-01-05,2023-09-09,2023-03-06
user_348,2023-01-01,2023-04-28,2023-03-02
user_349,2023-01-13,2023-02-08,2023-03-14
user_350,2023-01-07,2023-09-22,2023-03-08
user_351,2023-01-19,2023-02-14,2023-03-20
user_352,2023-01-11,2023-07-12,2023-03-12
user_353,2023-01-26,2023-03-30,2023-03-27
user_354,2023-01-21,2023-09-14,2023-03-22
user_355,2023-01-30,2023-08-30,2023-03-31
user_356,2023-01-11,2023-02-25,2023-03-12
user_357,2023-01-07,2023-08-01,2023-03-08
user_358,2023-01-28,2023-10-25,2023-03-29
user_359,2023-01-04,2023-04-18,2023-03-05
user_360,2023-01-03,2023-01-31,2023-03-04
user_361,2023-01-29,2023-10-12,2023-03-30
user_362,2023-01-06,2023-03-22,2023-03-07
user_363,2023-01-02,2023-02-24,2023-03-03
user_364,2023-01-19,2023-04-25,2023-03-20
user_365,2023-01-24,2023-10-17,2023-03-25
user_366,2023-01-19,2023-11-25,2023-03-20
user_367,2023-01-18,2023-05-19,2023-03-19
user_368,2023-01-13,2023-12-18,2023-03-14
user_369,2023-01-03,2023-09-27,2023-03-04
user_370,2023-01-09,2023-08-04,2023-03-10
user_371,2023-01-29,2023-06-28,2023-03-30
user_372,2023-01-03,2023-03-08,2023-03-04
user_373,2023-01-15,2023-12-31,2023-03-16
user_374,2023-01-19,2023-07-06,2023-03-20
user_375,2023-01-21,2023-05-22,2023-03-22
user_376,2023-01-03,2023-12-25,2023-03-04
user_377,2023-01-21,2023-03-31,2023-03-22
user_378,2023-01-11,2023-05-30,2023-03-12
user_379,2023-01-29,2023-10-16,2023-03-30
user_380,2023-01-05,2023-04-23,2023-03-06
user_381,2023-01-03,2023-12-17,2023-03-04
user_382,2023-01-12,2023-11-07,2023-03-13
user_383,2023-01-08,2023-05-27,2023-03-09
user_384,2023-01-27,2023-02-24,2023-03-28
user_385,2023-01-04,2023-10-02,2023-03-05
user_386,2023-01-14,2023-07-20,2023-03-15
user_387,2023-01-23,2023-03-04,2023-03-24
user_388,2023-01-02,2023-07-16,2023-03-03
user_389,2023-01-10,2023-09-20,2023-03-11
user_390,2023-01-30,2023-07-21,2023-03-31
user_391,2023-01-06,2023-11-11,2023-03-07
user_392,2023-01-25,2023-02-08,2023-03-26
user_393,2023-01-22,2023-06-13,2023-03-23
user_394,2023-01-11,2023-08-16,2023-03-12
user_395,2023-01-05,2023-03-18,2023-03-06
user_396,2023-01-26,2023-09-06,2023-03-27
user_397,2023-01-26,2023-05-16,2023-03-27
user_398,2023-01-28,2023-06-18,2023-03-29
user_399,2023-01-07,2023-04-12,2023-03-08
user_400,2023-01-19,2023-04-16,2023-03-20
user_401,2023-01-06,2023-08-08,2023-03-07
user_402,2023-01-19,2023-09-01,2023-03-20
user_403,2023-01-20,2023-03-24,2023-03-21
user_404,2023-01-24,2023-06-05,2023-03-25
user_405,2023-01-30,2023-03-10,2023-03-31
user_406,2023-01-05,2023-12-31,2023-03-06
user_407,2023-01-15,2023-02-05,2023-03-16
user_408,2023-01-23,2023-04-27,2023-03-24
user_409,2023-01-25,2023-12-24,2023-03-26
user_410,2023-01-29,2023-07-22,2023-03-30
user_411,2023-01-29,2023-05-10,2023-03-30
user_412,2023-01-11,2023-03-03,2023-03-12
user_413,2023-01-23,2023-11-15,2023-03-24
user_414,2023-01-07,2023-10-26,2023-03-08
user_415,2023-01-13,2023-11-30,2023-03-14
user_416,2023-01-05,2023-06-08,2023-03-06
user_417,2023-01-07,2023-02-20,2023-03-08
user_418,2023-01-13,2023-03-29,2023-03-14
user_419,2023-01-05,2023-06-20,2023-03-06
user_420,2023-01-06,2023-02-05,2023-03-07
user_421,2023-01-22,2023-04-28,2023-03-23
user_422,2023-01-25,2023-10-16,2023-03-26
user_423,2023-01-17,2023-07-31,2023-03-18
user_424,2023-01-17,2023-05-31,2023-03-18
user_425,2023-01-10,2023-10-31,2023-03-11
user_426,2023-01-27,2023-12-07,2023-03-28
user_427,2023-01-18,2023-07-25,2023-03-19
user_428,2023-01-04,2023-06-13,2023-03-05
user_429,2023-01-24,2023-03-17,2023-03-25
user_430,2023-01-10,2023-09-23,2023-03-11
user_431,2023-01-19,2023-09-10,2023-03-20
user_432,2023-01-26,2023-08-31,2023-03-27
user_433,2023-01-29,2023-08-09,2023-03-30
user_434,2023-01-24,2023-10-25,2023-03-25
user_435,2023-01-15,2023-11-09,2023-03-16
user_436,2023-01-24,2023-12-14,2023-03-25
user_437,2023-01-23,2023-02-14,2023-03-24
user_438,2023-01-15,2023-04-17,2023-03-16
user_439,2023-01-11,2023-09-08,2023-03-12
user_440,2023-01-03,2023-04-21,2023-03-04
user_441,2023-01-06,2023-03-13,2023-03-07
user_442,2023-01-19,2023-09-16,2023-03-20
user_443,2023-01-14,2023-03-12,2023-03-15
user_444,2023-01-06,2023-07-26,2023-03-07
user_445,2023-01-18,2023-07-21,2023-03-19
user_446,2023-01-18,2023-09-12,2023-03-19
user_447,2023-01-17,2023-07-08,2023-03-18
user_448,2023-01-26,2023-07-10,2023-03-27
user_449,2023-01-30,2023-09-11,2023-03-31
user_450,2023-01-11,2023-11-15,2023-03-12
user_451,2023-01-07,2023-05-31,2023-03-08
user_452,2023-01-17,2023-04-08,2023-03-18
user_453,2023-01-13,2023-11-19,2023-03-14
user_454,2023-01-22,2023-07-25,2023-03-23
user_455,2023-01-22,2023-07-30,2023-03-23
user_456,2023-01-17,2023-03-04,2023-03-18
user_457,2023-01-04,2023-11-24,2023-03-05
user_458,2023-01-03,2023-05-28,2023-03-04
user_459,2023-01-21,2023-03-04,2023-03-22
user_460,2023-01-15,2023-09-04,2023-03-16
user_461,2023-01-26,2023-12-24,2023-03-27
user_462,2023-01-17,2023-06-14,2023-03-18
user_463,2023-01-14,2023-02-13,2023-03-15
user_464,2023-01-12,2023-02-18,2023-03-13
user_465,2023-01-25,2023-05-31,2023-03-26
user_466,2023-01-02,2023-10-13,2023-03-03
user_467,2023-01-28,2023-05-07,2023-03-29
user_468,2023-01-30,2023-06-01,2023-03-31
user_469,2023-01-06,2023-08-29,2023-03-07
user_470,2023-01-09,2023-04-01,2023-03-10
user_471,2023-01-29,2023-02-06,2023-03-30
user_472,2023-01-02,2023-07-22,2023-03-03
user_473,2023-01-08,2023-11-18,2023-03-09
user_474,2023-01-07,2023-07-27,2023-03-08
user_475,2023-01-21,2023-06-02,2023-03-22
user_476,2023-01-19,2023-08-08,2023-03-20
user_477,2023-01-12,2023-09-07,2023-03-13
user_478,2023-01-20,2023-09-09,2023-03-21
user_479,2023-01-28,2023-09-07,2023-03-29
user_480,2023-01-27,2023-03-04,2023-03-28
user_481,2023-01-29,2023-11-27,2023-03-30
user_482,2023-01-12,2023-03-25,2023-03-13
user_483,2023-01-08,2023-03-08,2023-03-09
user_484,2023-01-28,2023-05-19,2023-03-29
user_485,2023-01-09,2023-04-16,2023-03-10
user_486,2023-01-20,2023-07-31,2023-03-21
user_487,2023-01-24,2023-03-27,2023-03-25
user_488,2023-01-23,2023-02-12,2023-03-24
user_489,2023-01-23,2023-07-09,2023-03-24
user_490,2023-01-16,2023-11-21,2023-03-17
user_491,2023-01-26,2023-05-07,2023-03-27
user_492,2023-01-19,2023-02-28,2023-03-20
user_493,2023-01-12,2023-11-29,2023-03-13
user_494,2023-01-10,2023-11-08,2023-03-11
user_495,2023-01-05,2023-10-03,2023-03-06
user_496,2023-01-13,2023-09-19,2023-03-14
user_497,2023-01-02,2023-09-14,2023-03-03
user_498,2023-01-03,2023-08-11,2023-03-04
user_499,2023-01-01,2023-04-07,2023-03-02
user_500,2023-01-26,2023-12-18,2023-03-27
user_501,2023-01-07,2023-09-23,2023-03-08
user_502,2023-01-01,2023-07-31,2023-03-02
user_503,2023-01-07,2023-05-15,2023-03-08
user_504,2023-01-30,2023-09-01,2023-03-31
user_505,2023-01-06,2023-06-22,2023-03-07
user_506,2023-01-12,2023-12-19,2023-03-13
user_507,2023-01-05,2023-05-11,2023-03-06
user_508,2023-01-27,2023-08-23,2023-03-28
user_509,2023-01-30,2023-08-20,2023-03-31
user_510,2023-01-03,2023-12-03,2023-03-04
user_511,2023-01-27,2023-08-08,2023-03-28
user_512,2023-01-14,2023-07-11,2023-03-15
user_513,2023-01-07,2023-05-09,2023-03-08
user_514,2023-01-17,2023-10-02,2023-03-18
user_515,2023-01-21,2023-08-19,2023-03-22
user_516,2023-01-29,2023-12-14,2023-03-30
user_517,2023-01-09,2023-11-21,2023-03-10
user_518,2023-01-29,2023-09-25,2023-03-30
user_519,2023-01-04,2023-10-02,2023-03-05
user_520,2023-01-05,2023-06-25,2023-03-06
user_521,2023-01-30,2023-08-02,2023-03-31
user_522,2023-01-14,2023-09-17,2023-03-15
user_523,2023-01-04,2023-12-04,2023-03-05
user_524,2023-01-29,2023-02-26,2023-03-30
user_525,2023-01-03,2023-11-16,2023-03-04
user_526,2023-01-03,2023-03-21,2023-03-04
user_527,2023-01-04,2023-12-06,2023-03-05
user_528,2023-01-03,2023-07-03,2023-03-04
user_529,2023-01-06,2023-09-08,2023-03-07
user_530,2023-01-06,2023-04-19,2023-03-07
user_531,2023-01-16,2023-07-18,2023-03-17
user_532,2023-01-16,2023-11-02,2023-03-17
user_533,2023-01-16,2023-03-17,2023-03-17
user_534,2023-01-01,2023-04-08,2023-03-02
user_535,2023-01-14,2023-11-03,2023-03-15
user_536,2023-01-19,2023-10-10,2023-03-20
user_537,2023-01-28,2023-08-22,2023-03-29
user_538,2023-01-29,2023-07-20,2023-03-30
user_539,2023-01-12,2023-03-02,2023-03-13
user_540,2023-01-17,2023-06-07,2023-03-18
user_541,2023-01-19,2023-10-09,2023-03-20
user_542,2023-01-26,2023-04-10,2023-03-27
user_543,2023-01-11,2023-04-06,2023-03-12
user_544,2023-01-22,2023-03-30,2023-03-23
user_545,2023-01-08,2023-08-19,2023-03-09
user_546,2023-01-12,2023-08-06,2023-03-13
user_547,2023-01-07,2023-04-20,2023-03-08
user_548,2023-01-05,2023-11-08,2023-03-06
user_549,2023-01-15,2023-10-11,2023-03-16
user_550,2023-01-17,2023-05-01,2023-03-18
user_551,2023-01-29,2023-07-29,2023-03-30
user_552,2023-01-22,2023-08-23,2023-03-23
user_553,2023-01-22,2023-07-10,2023-03-23
user_554,2023-01-12,2023-08-18,2023-03-13
user_555,2023-01-14,2023-09-01,2023-03-15
user_556,2023-01-13,2023-10-14,2023-03-14
user_557,2023-01-17,2023-07-10,2023-03-18
user_558,2023-01-03,2023-10-16,2023-03-04
